fecha,producto,categoria,precio,cantidad,cliente
2026-04-17,Botella Térmica,Accesorios,9800.0,1.0,CLI-028
2025-01-30,Cafetera Eléctrica,Hogar,58900.0,1.0,CLI-032
2026-05-04,Zapatillas Running,Indumentaria,73700.0,1.0,CLI-033
2026-06-08,Mouse Inalámbrico,Electrónica,15700.0,1.0,CLI-058
2025-05-28,Cafetera Eléctrica,Hogar,59600.0,4.0,CLI-027
2025-01-16,Escritorio Madera,Muebles,100500.0,2.0,CLI-038
2025-04-29,Mouse Inalámbrico,Electrónica,16100.0,1.0,CLI-001
2025-01-21,Escritorio Madera,Muebles,90500.0,1.0,CLI-005
2025-02-18,Mouse Inalámbrico,Electrónica,14000.0,1.0,CLI-051
2026-05-15,Mouse Inalámbrico,Electrónica,16200.0,5.0,CLI-003
2026-03-03,Teclado Mecánico,Electrónica,46500.0,1.0,CLI-034
2025-04-19,Escritorio Madera,Muebles,90100.0,1.0,CLI-018
2025-05-16,Auriculares Bluetooth,Electrónica,35300.0,3.0,CLI-054
2025-01-07,Mochila Urbana,Accesorios,31300.0,1.0,CLI-049
2025-10-07,Teclado Mecánico,Electrónica,42800.0,5.0,CLI-052
2026-01-21,Botella Térmica,Accesorios,9400.0,1.0,CLI-014
2025-01-20,Cafetera Eléctrica,Hogar,53000.0,1.0,CLI-027
2025-04-10,Notebook Lenovo,Electrónica,800200.0,2.0,CLI-006
2025-07-19,Escritorio Madera,Muebles,96000.0,1.0,CLI-025
2026-05-03,Mochila Urbana,Accesorios,31300.0,5.0,CLI-051
2026-02-15,Notebook Lenovo,Electrónica,793000.0,1.0,CLI-025
2026-03-21,Teclado Mecánico,Electrónica,41000.0,3.0,CLI-014
2026-03-03,Lámpara LED,Hogar,11200.0,4.0,CLI-012
2026-06-07,Cafetera Eléctrica,Hogar,58400.0,5.0,CLI-009
2025-06-18,Botella Térmica,Accesorios,8500.0,1.0,CLI-036
2026-06-23,Auriculares Bluetooth,Electrónica,39000.0,1.0,CLI-025
2025-12-03,Silla Ergonómica,Muebles,128700.0,2.0,CLI-023
2025-09-19,Silla Ergonómica,Muebles,115900.0,1.0,CLI-032
2026-02-08,Mouse Inalámbrico,Electrónica,15300.0,1.0,CLI-028
2026-06-15,Campera Impermeable,Indumentaria,72100.0,5.0,CLI-042
2025-12-17,Teclado Mecánico,Electrónica,41500.0,4.0,CLI-030
2026-06-08,Botella Térmica,Accesorios,8600.0,1.0,CLI-060
2025-10-16,Campera Impermeable,Indumentaria,67800.0,3.0,CLI-014
2025-09-23,Lámpara LED,Hogar,11800.0,1.0,CLI-038
2026-01-23,Mouse Inalámbrico,Electrónica,15200.0,3.0,CLI-037
2025-03-30,Zapatillas Running,Indumentaria,67400.0,3.0,CLI-013
2025-11-05,Mouse Inalámbrico,Electrónica,13600.0,4.0,CLI-041
2025-06-20,Cafetera Eléctrica,Hogar,52700.0,1.0,CLI-021
2025-10-25,Cafetera Eléctrica,Hogar,57500.0,3.0,CLI-028
2025-10-06,Lámpara LED,Hogar,12500.0,5.0,CLI-052
2025-04-17,Cafetera Eléctrica,Hogar,51000.0,1.0,CLI-016
2025-11-02,Lámpara LED,Hogar,12800.0,4.0,CLI-035
2026-04-28,Zapatillas Running,Indumentaria,72100.0,2.0,CLI-049
2025-10-14,Mouse Inalámbrico,Electrónica,13600.0,2.0,CLI-058
2025-04-29,Auriculares Bluetooth,Electrónica,39800.0,1.0,CLI-003
2025-11-03,Mochila Urbana,Accesorios,27600.0,1.0,CLI-017
2026-01-11,Zapatillas Running,Indumentaria,72400.0,1.0,CLI-049
2025-04-22,Teclado Mecánico,Electrónica,41500.0,5.0,CLI-030
2026-06-22,Botella Térmica,Accesorios,9100.0,2.0,CLI-043
2026-01-06,Notebook Lenovo,Electrónica,826600.0,1.0,CLI-014
2025-09-07,Botella Térmica,Accesorios,8500.0,1.0,CLI-042
2026-01-17,Teclado Mecánico,Electrónica,45500.0,3.0,CLI-043
2025-09-27,Botella Térmica,Accesorios,9200.0,4.0,CLI-024
2026-03-28,Zapatillas Running,Indumentaria,64200.0,4.0,CLI-007
2025-12-13,Zapatillas Running,Indumentaria,68300.0,1.0,CLI-028
2025-11-24,Silla Ergonómica,Muebles,127800.0,3.0,CLI-008
2025-12-20,Teclado Mecánico,Electrónica,43100.0,2.0,CLI-046
2025-08-15,Auriculares Bluetooth,Electrónica,41500.0,5.0,CLI-010
2026-02-09,Mochila Urbana,Accesorios,27200.0,1.0,CLI-035
2026-05-15,Notebook Lenovo,Electrónica,766100.0,4.0,CLI-001
2026-04-14,Mouse Inalámbrico,Electrónica,14300.0,5.0,CLI-034
2025-04-15,Zapatillas Running,Indumentaria,63700.0,3.0,CLI-013
2025-10-13,Campera Impermeable,Indumentaria,68100.0,4.0,CLI-055
2025-09-29,Cafetera Eléctrica,Hogar,52600.0,5.0,CLI-010
2025-06-07,Cafetera Eléctrica,Hogar,59800.0,2.0,CLI-033
2026-03-15,Teclado Mecánico,Electrónica,46000.0,2.0,CLI-053
2026-05-01,Silla Ergonómica,Muebles,131200.0,2.0,CLI-047
2025-04-28,Mochila Urbana,Accesorios,32300.0,2.0,CLI-050
2026-02-12,Mouse Inalámbrico,Electrónica,14400.0,2.0,CLI-037
2025-04-08,Zapatillas Running,Indumentaria,73700.0,2.0,CLI-014
2026-05-02,Campera Impermeable,Indumentaria,77500.0,6.0,CLI-006
2026-03-29,Auriculares Bluetooth,Electrónica,41100.0,4.0,CLI-048
2026-04-13,Zapatillas Running,Indumentaria,63200.0,2.0,CLI-059
2026-01-25,Escritorio Madera,Muebles,93900.0,4.0,CLI-053
2026-03-31,Mouse Inalámbrico,Electrónica,16200.0,3.0,CLI-039
2025-06-06,Auriculares Bluetooth,Electrónica,39500.0,1.0,CLI-020
2025-05-27,Campera Impermeable,Indumentaria,74600.0,5.0,CLI-009
2025-07-17,Teclado Mecánico,Electrónica,40900.0,1.0,CLI-044
2026-01-13,Campera Impermeable,Indumentaria,78800.0,2.0,CLI-047
2025-11-23,Campera Impermeable,Indumentaria,68000.0,2.0,CLI-004
2025-06-13,Escritorio Madera,Muebles,96100.0,5.0,CLI-015
2025-09-18,Campera Impermeable,Indumentaria,67600.0,1.0,CLI-060
2025-02-04,Mouse Inalámbrico,Electrónica,16300.0,1.0,CLI-049
2026-03-30,Auriculares Bluetooth,Electrónica,34900.0,1.0,CLI-009
2026-05-03,Mochila Urbana,Accesorios,29200.0,2.0,CLI-055
2026-06-10,Notebook Lenovo,Electrónica,880100.0,2.0,CLI-053
2026-05-28,Zapatillas Running,Indumentaria,67900.0,3.0,CLI-003
2025-02-15,Campera Impermeable,Indumentaria,79000.0,4.0,CLI-049
2026-02-28,Notebook Lenovo,Electrónica,860600.0,2.0,CLI-048
2025-05-02,Teclado Mecánico,Electrónica,49300.0,4.0,CLI-024
2026-01-28,Campera Impermeable,Indumentaria,65300.0,1.0,CLI-044
2025-05-21,Mochila Urbana,Accesorios,27600.0,1.0,CLI-020
2026-04-11,Mouse Inalámbrico,Electrónica,15500.0,1.0,CLI-004
2025-08-15,Mochila Urbana,Accesorios,28400.0,2.0,CLI-018
2025-11-11,Teclado Mecánico,Electrónica,44100.0,2.0,CLI-045
2025-06-02,Cafetera Eléctrica,Hogar,55400.0,3.0,CLI-022
2025-01-03,Silla Ergonómica,Muebles,125400.0,5.0,CLI-056
2025-02-12,Cafetera Eléctrica,Hogar,59500.0,2.0,CLI-021
2025-09-11,Botella Térmica,Accesorios,8900.0,5.0,CLI-034
2026-05-17,Mouse Inalámbrico,Electrónica,14800.0,3.0,CLI-041
2026-01-02,Mouse Inalámbrico,Electrónica,15900.0,4.0,CLI-014
2025-06-01,Mouse Inalámbrico,Electrónica,13900.0,3.0,CLI-025
2025-10-08,Mouse Inalámbrico,Electrónica,15500.0,2.0,CLI-006
2025-04-21,Escritorio Madera,Muebles,101600.0,3.0,CLI-008
2026-03-29,Zapatillas Running,Indumentaria,70800.0,1.0,CLI-008
2025-03-25,Silla Ergonómica,Muebles,118600.0,4.0,CLI-032
2026-04-21,Zapatillas Running,Indumentaria,66600.0,1.0,CLI-044
2025-01-30,Lámpara LED,Hogar,11600.0,4.0,CLI-047
2026-05-23,Campera Impermeable,Indumentaria,73700.0,5.0,CLI-009
2025-04-28,Notebook Lenovo,Electrónica,909400.0,1.0,CLI-044
2025-05-20,Teclado Mecánico,Electrónica,47100.0,4.0,CLI-051
2025-09-13,Mouse Inalámbrico,Electrónica,13600.0,1.0,CLI-032
2025-04-09,Zapatillas Running,Indumentaria,63200.0,2.0,CLI-040
2026-03-17,Teclado Mecánico,Electrónica,41700.0,2.0,CLI-033
2026-03-09,Notebook Lenovo,Electrónica,770100.0,2.0,CLI-015
2025-08-15,Mochila Urbana,Accesorios,27400.0,5.0,CLI-059
2026-03-27,Lámpara LED,Hogar,11600.0,1.0,CLI-032
2026-05-18,Campera Impermeable,Indumentaria,76100.0,4.0,CLI-018
2025-12-06,Escritorio Madera,Muebles,,2.0,CLI-030
2025-06-08,Mouse Inalámbrico,Electrónica,14900.0,2.0,CLI-022
2025-10-20,Lámpara LED,Hogar,12700.0,1.0,CLI-002
2025-12-23,Mouse Inalámbrico,Electrónica,14000.0,4.0,CLI-034
2025-04-29,Mouse Inalámbrico,Electrónica,15700.0,1.0,CLI-018
2025-03-29,Mouse Inalámbrico,Electrónica,16000.0,1.0,CLI-023
2025-06-28,Notebook Lenovo,Electrónica,926900.0,5.0,CLI-036
2025-12-02,Campera Impermeable,Indumentaria,75200.0,2.0,CLI-049
2025-08-29,Notebook Lenovo,Electrónica,767200.0,1.0,CLI-059
2025-02-22,Campera Impermeable,Indumentaria,71700.0,4.0,CLI-010
2026-03-16,Auriculares Bluetooth,Electrónica,38000.0,3.0,CLI-054
2026-03-29,Lámpara LED,Hogar,11500.0,1.0,CLI-023
2025-03-11,Notebook Lenovo,Electrónica,809600.0,1.0,CLI-060
2025-03-31,Silla Ergonómica,Muebles,127800.0,5.0,CLI-013
2026-05-30,Escritorio Madera,Muebles,92900.0,1.0,CLI-002
2026-02-15,Zapatillas Running,Indumentaria,61700.0,1.0,CLI-021
2026-06-20,Campera Impermeable,Indumentaria,67100.0,4.0,CLI-025
2025-12-13,Notebook Lenovo,Electrónica,865000.0,2.0,CLI-038
2025-02-06,Campera Impermeable,Indumentaria,65800.0,2.0,CLI-015
2026-03-31,Cafetera Eléctrica,Hogar,60000.0,3.0,CLI-007
2025-07-18,Silla Ergonómica,Muebles,113500.0,1.0,CLI-020
2025-12-27,Auriculares Bluetooth,Electrónica,39000.0,2.0,CLI-044
2026-02-10,Mochila Urbana,Accesorios,28800.0,2.0,CLI-028
2025-05-23,Botella Térmica,Accesorios,8900.0,1.0,CLI-058
2025-12-05,Mochila Urbana,Accesorios,27500.0,5.0,CLI-055
2025-02-07,Escritorio Madera,Muebles,98800.0,1.0,CLI-007
2026-04-27,Notebook Lenovo,Electrónica,873100.0,3.0,CLI-017
2025-12-09,Mouse Inalámbrico,Electrónica,14500.0,4.0,CLI-019
2025-12-30,Auriculares Bluetooth,Electrónica,39900.0,2.0,CLI-027
2025-09-12,Cafetera Eléctrica,Hogar,53300.0,4.0,CLI-010
2025-11-10,Teclado Mecánico,Electrónica,41100.0,1.0,CLI-020
2025-01-19,Mouse Inalámbrico,Electrónica,14700.0,1.0,CLI-036
2025-07-01,Botella Térmica,Accesorios,8100.0,4.0,CLI-055
2026-03-10,Escritorio Madera,Muebles,98800.0,1.0,CLI-060
2025-04-15,Notebook Lenovo,Electrónica,852000.0,3.0,CLI-036
2026-01-22,Cafetera Eléctrica,Hogar,59800.0,2.0,CLI-045
2026-02-22,Silla Ergonómica,Muebles,108800.0,3.0,CLI-014
2025-02-25,Auriculares Bluetooth,Electrónica,40600.0,3.0,CLI-036
2026-05-01,Campera Impermeable,Indumentaria,72700.0,3.0,CLI-054
2025-03-24,Teclado Mecánico,Electrónica,41100.0,1.0,CLI-044
2025-03-22,Silla Ergonómica,Muebles,112700.0,2.0,CLI-009
2025-08-29,Mochila Urbana,Accesorios,28900.0,2.0,CLI-010
2025-09-05,Botella Térmica,Accesorios,8800.0,2.0,CLI-045
2026-03-08,Mochila Urbana,Accesorios,32300.0,1.0,CLI-008
2026-02-28,Notebook Lenovo,Electrónica,913000.0,1.0,CLI-009
2025-02-19,Auriculares Bluetooth,Electrónica,39800.0,4.0,CLI-029
2026-05-02,Silla Ergonómica,Muebles,109100.0,1.0,CLI-044
2025-12-12,Lámpara LED,Hogar,11500.0,4.0,CLI-017
2025-10-23,Botella Térmica,Accesorios,8500.0,5.0,CLI-021
2025-09-08,Escritorio Madera,Muebles,90900.0,5.0,CLI-054
2025-02-01,Auriculares Bluetooth,Electrónica,37000.0,5.0,CLI-012
2025-09-20,Mochila Urbana,Accesorios,28400.0,2.0,CLI-017
2026-06-02,Campera Impermeable,Indumentaria,65200.0,4.0,CLI-042
2025-09-25,Auriculares Bluetooth,Electrónica,39300.0,3.0,CLI-016
2025-10-30,Botella Térmica,Accesorios,9700.0,,CLI-030
2025-11-07,Silla Ergonómica,Muebles,114700.0,5.0,CLI-055
2026-06-15,Cafetera Eléctrica,Hogar,50100.0,2.0,CLI-059
2026-04-22,Silla Ergonómica,Muebles,126600.0,2.0,CLI-021
2025-05-16,Zapatillas Running,Indumentaria,73100.0,5.0,CLI-033
2025-06-16,Botella Térmica,Accesorios,8900.0,2.0,CLI-046
2026-03-06,Auriculares Bluetooth,Electrónica,37600.0,2.0,CLI-052
2025-07-14,Silla Ergonómica,Muebles,113200.0,1.0,CLI-038
2025-11-20,Lámpara LED,Hogar,11400.0,,CLI-059
2026-01-21,Mochila Urbana,Accesorios,31700.0,1.0,CLI-043
2025-03-17,Campera Impermeable,Indumentaria,73900.0,1.0,CLI-010
2026-01-29,Campera Impermeable,Indumentaria,70800.0,1.0,CLI-053
2025-05-26,Campera Impermeable,Indumentaria,78500.0,7.0,CLI-020
2026-05-31,Auriculares Bluetooth,Electrónica,41400.0,1.0,CLI-047
2026-06-18,Silla Ergonómica,Muebles,119000.0,1.0,CLI-004
2026-04-06,Escritorio Madera,Muebles,92600.0,1.0,CLI-037
